"code","title","cnt_vote","cnt_review_before","cnt_review_after","director_weight","distributor_weight","total"
69956,"터미네이터 제니시스",9357,1300,8723,61.9147590535247,305.318616119918,3240370
47370,"그래비티",12867,589,11545,30.8371658762887,478.270420973647,3227647
38766,"친절한 금자씨",8656,915,8602,31.1750914188556,581.60000686655,3120195
123277,"스물",9029,818,8245,29.1250361195788,358.482932798446,3044832
76020,"드래곤 길들이기 2",9457,682,9047,53.2322916053331,696.286931730838,3000115
47701,"마더",8959,361,8897,58.9015025878837,581.60000686655,2979751
74315,"고지전",10228,552,10153,28.139672064119,873.539505936061,2945151
119430,"엑스맨: 아포칼립스",13180,762,12785,56.0738832073855,394.608711052219,2934682
50869,"워낭소리",6455,361,6414,56.0691637014383,18.0367416151917,2934435
122120,"극비수사",7387,237,6662,54.6619293147686,873.539505936061,2860786
92064,"앤트맨",8485,417,7738,54.2990623615548,949.797434244477,2841795
106547,"표적",8201,249,7611,31.7249297844674,696.286931730838,2841788
97816,"호빗: 다섯 군대 전투",9342,897,8742,48.9101126476579,478.270420973647,2836774
129408,"메이즈 러너",9978,851,9368,53.0877639009411,394.608711052219,2812388
109911,"빅 히어로",10671,598,9773,53.5377124264403,949.797434244477,2801949
129408,"메이즈 러너: 스코치 트라이얼",9978,851,9368,53.0877639009411,394.608711052219,2744413
103535,"소원",8291,2827,7774,44.7796010426436,305.318616119918,2711094
39786,"우주전쟁",6267,11,6234,18.531684660171,277.953532194937,2643057
89361,"후궁 : 제왕의 첩",4418,168,4326,31.191931329415,305.318616119918,2636353
113351,"미니언즈",7784,201,7419,50.1681380386114,212.601759777925,2625599
124201,"탐정 : 더 비기닝",8277,392,7828,25.1121949818738,696.286931730838,2625465
39640,"하울의 움직이는 성",11327,195,11131,9.44539798257619,213.278571702128,2614043
76020,"드래곤 길들이기",9457,682,9047,53.2322916053331,581.60000686655,2571814
117790,"기술자들",8928,980,8504,48.9976432417642,305.318616119918,2564340
53741,"화차",6131,143,6000,11.6405324444861,147.936264155451,2436595
118950,"스파이",8378,504,7685,44.3050403891661,394.608711052219,2318748
122489,"정글북",7489,276,7184,23.4328915863677,949.797434244477,2298284
74566,"호빗: 스마우그의 폐허",5503,1017,4971,48.9101126476579,478.270420973647,2282744
109960,"배트맨 대 슈퍼맨: 저스티스의 시작",13569,1139,12983,43.1190877772934,478.270420973647,2256680
59845,"박쥐",12687,406,12639,31.1750914188556,581.60000686655,2206275
41585,"마당을 나온 암탉",5503,716,5446,42.0824014830714,305.318616119918,2202424
122535,"악의 연대기",7357,237,6781,41.8932582062632,696.286931730838,2192525
103760,"강남 1970",8789,1324,8258,41.888500485693,873.539505936061,2192276
113312,"나의 사랑 나의 신부",5420,285,4808,40.9117156131089,61.6709806064387,2141155
147001,"내부자들: 디 오리지널",7042,0,6754,87.473577888692,873.539505936061,2083975
100990,"인투 더 스톰",6442,388,5956,39.720756885616,478.270420973647,2078825
129050,"뷰티 인사이드",12405,2679,11346,39.252207392345,358.482932798446,2054303
124212,"레버넌트: 죽음에서 돌아온 자",9447,946,8812,21.1508193877675,394.608711052219,2007657
109982,"테이큰 3",6198,422,5778,38.3399861254115,394.608711052219,2006561
107960,"루시",9447,613,8510,6.68567377979686,212.601759777925,1974893
97826,"터보",1536,243,1454,36.7845172159134,696.286931730838,1925154
74027,"오늘의 연애",9264,959,8681,36.1508996583586,696.286931730838,1891993
81891,"코리아",6693,444,6619,35.781918365456,696.286931730838,1872682
96961,"집으로 가는 길",4922,1179,4447,35.43854087,696.286931730838,1854711
90885,"나의 PS 파트너 ",5719,480,5300,34.9996459242193,696.286931730838,1831741
99701,"007 스펙터",6458,257,6045,34.7913380139493,212.601759777925,1820839
116234,"나를 찾아줘",7820,118,6826,18.5061859529379,394.608711052219,1764233
127496,"대호",10274,556,9912,61.5754609690797,358.482932798446,1762733
128235,"제보자",5285,553,4729,33.5367901536937,118.984977735045,1755181
113348,"이미테이션 게임",6572,443,5725,33.3247372103644,118.984977735045,1744083
114282,"컨저링 2",7177,178,7000,32.0195486054578,478.270420973647,1727330
87566,"언터처블: 1%의 우정",7252,209,7059,16.8328918069071,358.482932798446,1721611
90596,"샌 안드레아스",5508,270,5024,32.7968404074898,478.270420973647,1716455
85640,"파파로티",9941,682,9539,32.7965155831938,873.539505936061,1716438
119966,"쎄시봉",8874,7997,8344,32.7761089744827,696.286931730838,1715370
105521,"피끓는 청춘",7176,1290,6789,32.0246184121164,305.318616119918,1676040
114276,"마다가스카의 펭귄",4202,188,3980,31.7446580836192,696.286931730838,1661388
86381,"마다가스카3 : 이번엔 서커스다!",2242,153,2192,31.2421357904528,696.286931730838,1635088
116532,"두근두근 내 인생",7374,3152,6987,31.0417574144666,696.286931730838,1624601
106522,"우아한 거짓말",3881,544,3449,50.9563019009024,115.082362865515,1619277
74565,"스타트렉 다크니스",8263,648,7812,38.0036464897013,696.286931730838,1607555
48747,"밀양",4650,227,4565,6.97100835811622,140.958593364516,1604439
134982,"더 폰",5739,525,5342,30.4511122005366,358.482932798446,1593689
58088,"라디오 스타",10502,381,10474,44.7796010426436,140.958593364516,1590757
119632,"위플래쉬",8761,832,7743,30.3624351677387,873.539505936061,1589048
39369,"오페라의 유령",2664,16,2639,29.5992700380291,581.60000686655,1549107
66464,"벼랑 위의 포뇨",4537,376,4491,9.44539798257619,873.539505936061,1518188
122596,"몬스터 호텔 2",5334,451,5245,22.9280573085065,212.601759777925,1514937
113377,"엑소더스: 신들과 왕들",6135,322,5744,24.4366961081824,394.608711052219,1511845
109753,"해무(海霧)",9511,1478,8869,28.1929719096242,358.482932798446,1475507
124041,"차이나타운",6857,195,6285,28.1287713428927,115.082362865515,1472147
113353,"인간중독",8487,272,8003,27.552093573689,358.482932798446,1441966
115504,"탐정 홍길동: 사라진 마을",9016,344,8767,51.5049301367841,696.286931730838,1430389
107928,"퓨리",6445,262,5925,13.0761364119459,529.352914654731,1362114
88295,"은교",5325,209,5184,8.72202531524638,305.318616119918,1346511
109910,"굿 다이노",5065,191,4875,25.4161827546165,949.797434244477,1330181
118377,"드라큘라: 전설의 시작",4116,114,3707,25.2551081184418,212.601759777925,1321751
97857,"가디언즈 오브 갤럭시",8439,293,7818,25.0530865136643,529.352914654731,1311178
37461,"알렉산더",1584,14,1567,25.0421189168477,140.958593364516,1310604
39675,"간 큰 가족",1108,105,1103,24.9449391304201,873.539505936061,1305518
143245,"셜록: 유령신부",8077,309,7671,24.4360541025151,118.984977735045,1278885
104612,"결혼전야",2495,397,2155,23.2123072284415,41.4559522161199,1214839
64920,"포비든 킹덤: 전설의 마스터를 찾아서",2910,254,2898,23.1559597667476,140.958593364516,1211890
74866,"인디펜던스 데이 : 리써전스",10223,709,9994,22.9818921587345,394.608711052219,1202780
124025,"시간이탈자",6190,383,5911,11.4853285297782,696.286931730838,1202168
112079,"빅매치",4460,566,4129,22.4976746700111,358.482932798446,1177438
113342,"슬로우 비디오",6625,993,6199,22.3471854844226,394.608711052219,1169562
134899,"동주",9863,241,9316,44.7796010426436,118.984977735045,1168961
120125,"장수상회",3762,859,3409,11.144826684707,696.286931730838,1165780
75006,"워크래프트: 전쟁의 서막",9294,1595,9036,11.1883722476776,212.601759777925,1156828
129051,"성난 변호사",3846,258,3524,21.5585503084473,696.286931730838,1128288
94170,"헝거게임: 캣칭 파이어",4983,521,4507,17.7597046907435,305.318616119918,1127329
74893,"김종욱 찾기",4314,270,4221,21.4427026786576,581.60000686655,1122225
130720,"특별수사: 사형수의 편지",4232,374,4113,21.3403257034946,358.482932798446,1116867
120123,"간신",5764,578,5415,21.2139881596765,305.318616119918,1110255
66440,"슬럼독 밀리어네어",4012,64,3938,7.48823818587555,581.60000686655,1106899
118958,"박물관이 살아있다 : 비밀의 무덤",2207,168,1960,21.0501047487074,394.608711052219,1101678
62789,"스타 트렉: 더 비기닝",5107,124,5056,38.0036464897013,581.60000686655,1085447
87308,"가디언즈",3465,623,3205,20.6568380628537,696.286931730838,1081096
136686,"오빠생각",5417,684,5207,50.9563019009024,358.482932798446,1069962
73301,"마루 밑 아리에티",2907,343,2840,10.5590060669376,581.60000686655,1068004
140718,"날, 보러와요",3911,117,3738,10.2991943984459,118.984977735045,1063265
134960,"그놈이다",4447,253,4181,19.9922284460017,115.082362865515,1046313
129406,"미쓰 와이프",6328,609,5954,18.8866411864125,118.984977735045,988451
52553,"향수 : 어느 살인자의 이야기",4874,29,4797,18.7123251833495,325.221749068464,979328
121090,"우리는 형제입니다",2794,169,2544,18.5412192086231,873.539505936061,970373
